SKU,qty,price,regular_price
3000700053,1,,13400
3000700019,2,,10700
3000700077,1,,9300
3000700076,2,,7800
3000700029,2,,27000
3000700014,1,,58000
3000700021,2,,11600
3000200082,1,,23500
3000200109,1,,21200
3000200243,2,,19000
3000200196,1,,7990
3001400095,1,,36500
3001400091,1,,27990
3001400089,2,,22200
3001400090,3,,19500
3001300032,2,,22500
3001300121,2,,19500
3001300120,2,,18200
3001300086,2,,13300
3000300015,1,,8800
3000300027,1,,6700
3000300037,1,,5300
3000300177,1,,10490
3000300106,1,,29990
3000300133,1,,24700
3000300111,1,,57990
3000300020,1,,39990
3000300021,1,,34990
3000300147,1,,31990
3000300022,1,,27990
3000300025,1,,24990
3000300138,1,,20500
3000300123,1,,35500
3000300032,1,,30990
3000300162,1,,24490
3000300109,1,,22600
3001400088,3,,21990
3001400016,1,,24990
3001400072,2,,25990
3001400013,2,,27000
3000700068,2,,2990
3000700106,7,,3600
3000700034,6,,3990
3000700018,1,,6500
3000700020,1,,7500
3000700024,1,,9500
3000700031,1,,10990
3000700025,1,,12990
3000700026,1,,14500
3000700074,1,,17000
3000700075,1,,19990
3000700098,5,,2200
3000700006,5,,3600
3000700055,3,,10500
3000700071,3,,13300
3000700065,1,,18000
3000700073,4,,10500
3000700070,2,,13400
3000700080,2,,12500
3000700032,2,,9400
3000200328,1,,34500
3000200314,1,,30600
3000200310,1,,27500
3000200303,1,,26500
3000200301,2,,22990
3000200276,1,,19990
3000200253,1,,17500
3000200140,1,,15500
3000200193,1,,30500
3000200229,1,,27990
3000200317,2,,24500
3000200284,2,,23900
3000200262,2,,20200
3000200261,1,,17900
3000200242,1,,15500
3000200240,1,,13500
3000300142,1,,29990
3000300145,1,,27990
3000300042,1,,23000
3000300165,1,,72990
3000300124,1,,53990
3000300166,1,,29600
3000300010,2,,26300
13002500025,167,,3360
13002500023,52,,3400
13002500024,301,,3360
13002500036,5,,7450
13002500039,77,,5000
13002500084,20,,14780
13002500083,129,,9860
13002500073,1,,5950
31001000009,164,14200,15100
31001000003,820,12170,12940
31001000002,2185,10200,10850
31001000001,1249,8120,8630
31001100004,143,21380,22740
31001100002,246,14260,15160
31001100003,113,17110,18200
31001100001,239,11410,12130
31001000006,57,12620,13420
31001000005,100,10520,11190
31001000004,112,8420,8950
31000900008,50,25230,26830
